Company,Current Ratio,Debt to Equity,Net Profit Margin,Interest Coverage,Revenue,Collateral,Debt to Income Ratio,Return on Equity
Company A,1.5,0.4,0.15,5.0,1000000,500000,0.3,0.2
Company B,0.9,1.2,0.05,2.0,500000,200000,0.4,0.1
Company C,2.0,0.1,0.20,8.0,2000000,1000000,0.2,0.25
Company D,1.2,0.8,0.10,3.5,750000,300000,0.35,0.15
Company E,0.7,1.5,0.08,1.5,300000,150000,0.5,0.05
Company F,1.8,0.3,0.18,6.0,1500000,700000,0.25,0.3
Company G,1.0,0.9,0.12,4.0,600000,250000,0.4,0.12
Company H,1.4,0.5,0.14,5.5,900000,400000,0.28,0.18
Company I,0.6,1.8,0.07,1.0,200000,100000,0.6,0.03
Company J,1.3,0.6,0.11,4.5,800000,350000,0.32,0.14
